participant_id,c_utts,c_form,c_gloss,c_obj,C_Pret,context,p_utts,p_form,p_gloss,p_obj,id,C_wpu
102,###,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021000001,1
102,mom?,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021000010,1
102,ooh.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021000100,1
102,NA,NA,NA,NA,NA,NA,###,$,NA,NA,11021001000,0
102,###,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001001,1
102,NA,NA,NA,NA,NA,NA,oops.,$,NA,NA,11021001002,0
102,I don't want my jacket on.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001003,6
102,NA,NA,NA,NA,NA,NA,what?,$,NA,NA,11021001004,0
102,I don't want my jacket on.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001005,6
102,NA,NA,NA,NA,NA,NA,I -- I'm just bringing it just in case.,$,NA,NA,11021001006,0
102,###,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001007,1
102,NA,NA,NA,NA,NA,NA,---,$,NA,NA,11021001008,0
102,NA,NA,NA,NA,NA,NA,come on.,$,NA,NA,11021001009,0
102,###,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021000101,1
102,NA,NA,NA,NA,NA,NA,let's go.,$,NA,NA,11021001010,0
102,NA,NA,NA,NA,NA,NA,you're getting good at those stairs.,$,NA,NA,11021001011,0
102,NA,NA,NA,NA,NA,NA,alright.,$,NA,NA,11021001012,0
102,huh.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001013,1
102,###,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001014,1
102,touch the bag.,point,bag,bag,NA,NA,NA,NA,NA,NA,11021001015,3
102,NA,NA,NA,NA,NA,NA,what are you eating?,$,NA,NA,11021001016,0
102,it's wet!,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001017,2
102,NA,NA,NA,NA,NA,NA,are you eating something?,$,NA,NA,11021001018,0
102,NA,NA,NA,NA,NA,NA,what?,$,NA,NA,11021001019,0
102,###,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021000102,1
102,NA,NA,NA,NA,NA,NA,what are you eating?,$,NA,NA,11021001020,0
102,NA,NA,NA,NA,NA,NA,are you just -- you just chewing?,$,NA,NA,11021001021,0
102,stop!,palm,bag,bag,NA,NA,NA,NA,NA,NA,11021001022,1
102,NA,NA,NA,NA,NA,NA,you're just chewing ###,$,NA,NA,11021001023,0
102,what if she ### in the mouth?,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001024,7
102,NA,NA,NA,NA,NA,NA,"nope, she's just playing with her tongue.",NA,NA,NA,11021001025,0
102,what?,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001026,1
102,NA,NA,NA,NA,NA,NA,she's just playing with her tongue.,NA,NA,NA,11021001027,0
102,NA,NA,NA,NA,NA,NA,"alright, guys.",NA,NA,NA,11021001028,0
102,NA,NA,NA,NA,NA,M briefly talks to neighbor; SIBs talk to M,NA,NA,NA,NA,11021001029,0
102,NA,NA,NA,NA,NA,NA,"on the bed, please.",$,NA,NA,11021000103,0
102,NA,NA,NA,NA,NA,NA,what in the world?,NA,NA,NA,11021001030,0
102,NA,NA,NA,NA,NA,NA,"Kiley, thank you!",$,NA,NA,11021001031,0
102,NA,NA,NA,NA,NA,NA,good girl.,$,NA,NA,11021001032,0
102,NA,NA,NA,NA,NA,NA,alright.,$,NA,NA,11021001033,0
102,NA,NA,NA,NA,NA,NA,good thing ### enough to eat ###,$,NA,NA,11021001034,0
102,###,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001035,1
102,NA,NA,NA,NA,NA,NA,### jump in it?,$,NA,NA,11021001036,0
102,NA,NA,NA,NA,NA,NA,where do you want to have it?,$,NA,NA,11021001037,0
102,NA,NA,NA,NA,NA,NA,in the middle of the yard?,$,NA,NA,11021001038,0
102,what?,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001039,1
102,crash.,NA,NA,NA,1,NA,NA,NA,NA,NA,11021000104,1
102,NA,NA,NA,NA,NA,NA,do you want to have it in the middle of the yard?,$,NA,NA,11021001040,0
102,yes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001041,1
102,I getting -- too close.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001042,5
102,NA,NA,NA,NA,NA,NA,"oh, thanks Kiley.",$,NA,NA,11021001043,0
102,NA,NA,NA,NA,NA,NA,"no, we're going to -- we're not going to put it in there, yet.",$,NA,NA,11021001044,0
102,NA,NA,NA,NA,NA,NA,we're going to put a big pile right here then we're going to jump in them.,$,NA,NA,11021001045,0
102,NA,NA,NA,NA,NA,NA,oh.,$,NA,NA,11021001046,0
102,NA,NA,NA,NA,NA,NA,###,$,NA,NA,11021001047,0
102,"I'm -- I be by -- I'm going to be home pretty soon, ok -- ok, Mom?",NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001048,17
102,NA,NA,NA,NA,NA,NA,you're what?,$,NA,NA,11021001049,0
102,splash.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11021000105,1
102,"I be home pretty soon, ok?",NA,NA,NA,NA,NA,NA,NA,NA,NA,11021001050,6
102,NA,NA,NA,NA,NA,NA,ok.,$,NA,NA,11021001051,0
102,NA,NA,NA,NA,NA,NA,where you going to go to?,$,NA,NA,11021001052,0
102,NA,NA,NA,NA,NA,NA,are you going to go to the store?,$,NA,NA,11021001053,0
