"trans.ID","time","line","key","p_utts","p_form","p_lrb","p_obj","p_gloss","p_orient","p_mspd","c_utts","c_form","c_lrb","c_obj","c_gloss","c_orient","c_mspd","context","Parent.DXT","Child.DXT","participant_id","session","C_wpu","c_pret"
NA,"1904-01-01 00:19:42",1,NA,"what are you doing down there Laura?","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,2,"*","Olivia, this is Karen.","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,3,"*","do you remember Karen?","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,4,"*","she was here about four months ago.","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,5,"*","she's going to videotape Laura while she's playing.","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,6,"*","you might get in the videotape too.","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,7,"*","did you want milky now?","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,8,"*","you're going to fall.","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,"ow.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,10,NA,"oh, sorry Laura.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,11,NA,"are you still stuck back there?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,"mmhm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,13,NA,"come on out, honey.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,14,NA,"come on out of there, Laura.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,15,NA,"I thought you went in your room to play.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,16,NA,"are you ok back there, Laura?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,"huhuh.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,18,NA,"are you stuck?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,"huhuh -- mmhm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,3,0
NA,NA,20,NA,"did I make you get stuck?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,21,NA,"should I pull you out?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
