participant_id,total_pretend_play,mlu,any_pretend_play,total_rep_gestures,total_all_gestures,group_status
22,9,1.446795270690728,1,2,66,TD
28,16,1.4235372340425532,1,5,83,TD
30,0,0.5225125069483046,0,1,39,PL
35,0,1.2129570237331624,0,2,56,PL
37,105,2.1183294663573085,1,0,48,TD
38,64,1.915779283639884,1,5,72,TD
43,14,1.8758012820512822,1,4,80,TD
44,3,2.6382978723404253,1,13,183,TD
45,69,1.7224129475232957,1,9,155,TD
46,241,0.5234248788368336,1,0,55,PL
54,5,1.7592592592592593,1,9,114,TD
58,23,1.6546762589928057,1,0,67,TD
61,6,1.0884396715097915,1,3,93,TD
68,0,0.9359756097560976,0,0,19,TD
75,75,1.164300815463606,1,4,156,TD
84,40,1.1282979824107604,1,8,74,TD
93,37,2.8275862068965516,1,0,47,PL
94,117,1.1033386327503976,1,0,25,PL
99,77,2.483204134366925,1,8,100,PL
102,133,1.0263271471730686,1,2,98,TD
103,109,1.3769017980636238,1,2,29,TD
106,19,0.6699395770392749,1,1,76,TD
117,121,1.0549148819330039,1,3,63,PL
132,58,1.0484037075180226,1,1,110,PL
135,47,1.3083524027459954,1,2,82,PL
150,100,2.47008547008547,1,13,187,PL
