participant_id,mean_c_wpu,any_pretend_play,total_rep_gestures,total_all_gestures,group_status
22,1.446795270690728,1,2,66,TD
28,1.4235372340425532,1,5,83,TD
30,0.5428354814253222,0,0,10,BI
35,1.9571026722925458,1,4,60,BI
37,2.1183294663573085,1,0,48,TD
38,1.915779283639884,1,5,72,TD
43,1.8758012820512822,1,4,80,TD
44,2.6382978723404253,1,13,183,TD
45,1.7224129475232957,1,9,155,TD
46,0.3481195756991321,1,0,46,BI
54,1.7592592592592593,1,9,114,TD
58,1.6546762589928057,1,0,67,TD
61,1.0884396715097915,1,3,93,TD
68,0.9359756097560976,0,0,19,TD
75,1.164300815463606,1,4,156,TD
84,1.1282979824107604,1,8,74,TD
93,2.132197891321979,1,1,38,BI
94,1.0637351778656126,1,3,74,BI
99,1.4661016949152543,0,0,18,BI
102,1.0263271471730686,1,2,98,TD
103,1.3769017980636238,1,2,29,TD
106,0.6699395770392749,1,1,76,TD
117,1.032,1,2,141,BI
132,0.7803921568627451,1,2,134,BI
135,1.0251605995717346,1,3,57,BI
150,1.676875,1,2,111,BI
