"","participant_id","Project","HighScore07","HighScore08","HighScore09","AvgHighScore"
"1",22,2,10,4,8,7.33333333333333
"2",25,2,4,5,8,5.66666666666667
"3",28,2,2,4,5,3.66666666666667
"4",29,2,6,8,4,6
"5",37,2,6,4,2,4
"6",38,2,8,8,7,7.66666666666667
"7",40,2,4,6,0,3.33333333333333
"8",42,2,2,10,10,7.33333333333333
"9",43,2,10,10,10,10
"10",44,2,4,10,10,8
"11",45,2,4,6,4,4.66666666666667
"12",54,2,7,6,7,6.66666666666667
"13",58,2,8,3,7,6
"14",61,2,2,8,4,4.66666666666667
"15",68,2,10,4,2,5.33333333333333
"16",75,2,3,9,0,4
"17",84,2,3,3,4,3.33333333333333
"18",102,2,8,4,1,4.33333333333333
"19",103,2,8,8,4,6.66666666666667
"20",106,2,6,5,3,4.66666666666667
"21",30,3,3,4,4,3.66666666666667
"22",35,3,2,0,0,0.666666666666667
"23",46,3,6,0,0,2
"24",93,3,1,9,10,6.66666666666667
"25",94,3,4,10,10,8
"26",98,3,1,1,0,0.666666666666667
"27",99,3,3,2,8,4.33333333333333
"28",117,3,3,5,6,4.66666666666667
"29",135,3,4,3,10,5.66666666666667
"30",140,3,0,1,4,1.66666666666667
"31",150,3,0,1,8,3
