participant_id,GroupStatus,total_gestures,rep_gestures,icon_gestures,prop_rep,prop_icon,mlu,total_pretend_play,rep_gesture_present
22,TD,2,1,1,0.5,0.5,1.446795270690728,9,1
28,TD,4,1,0,0.25,0,1.4235372340425532,16,1
35,BI,6,0,0,0,0,1.9571026722925458,86,0
37,TD,2,0,0,0,0,2.1183294663573085,105,0
38,TD,2,0,0,0,0,1.915779283639884,64,0
43,TD,2,0,0,0,0,1.8758012820512822,14,0
44,TD,0,0,0,NA,NA,2.6382978723404253,3,0
45,TD,12,1,0,0.08333333333333333,0,1.7224129475232957,69,1
46,BI,0,0,0,NA,NA,0.3481195756991321,2,0
54,TD,0,0,0,NA,NA,1.7592592592592593,5,0
58,TD,0,0,0,NA,NA,1.6546762589928057,23,0
61,TD,0,0,0,NA,NA,1.0884396715097915,6,0
75,TD,4,3,3,0.75,0.75,1.164300815463606,75,1
84,TD,3,0,0,0,0,1.1282979824107604,40,0
93,BI,0,0,0,NA,NA,2.132197891321979,26,0
94,BI,11,2,2,0.18181818181818182,0.18181818181818182,1.0637351778656126,81,1
102,TD,9,1,1,0.1111111111111111,0.1111111111111111,1.0263271471730686,133,1
103,TD,11,1,1,0.09090909090909091,0.09090909090909091,1.3769017980636238,109,1
106,TD,2,0,0,0,0,0.6699395770392749,19,0
117,BI,1,0,0,0,0,1.032,1,0
132,BI,16,0,0,0,0,0.7803921568627451,51,0
135,BI,8,0,0,0,0,1.0251605995717346,153,0
150,BI,8,0,0,0,0,1.676875,58,0
