participant_id,GroupStatus,total_gestures,rep_gestures,icon_gestures,prop_rep,prop_icon,mlu,total_pretend_play
22,TD,2,1,1,0.5,0.5,1.446795270690728,9
28,TD,4,1,0,0.25,0,1.4235372340425532,16
35,BI,6,0,0,0,0,1.2129570237331624,0
37,TD,2,0,0,0,0,2.1183294663573085,105
38,TD,2,0,0,0,0,1.915779283639884,64
43,TD,2,0,0,0,0,1.8758012820512822,14
44,TD,0,0,0,NA,NA,2.6382978723404253,3
45,TD,12,1,0,0.08333333333333333,0,1.7224129475232957,69
46,BI,0,0,0,NA,NA,0.5234248788368336,241
54,TD,0,0,0,NA,NA,1.7592592592592593,5
58,TD,0,0,0,NA,NA,1.6546762589928057,23
61,TD,0,0,0,NA,NA,1.0884396715097915,6
75,TD,4,3,3,0.75,0.75,1.164300815463606,75
84,TD,3,0,0,0,0,1.1282979824107604,40
93,BI,0,0,0,NA,NA,2.8275862068965516,37
94,BI,11,2,2,0.18181818181818182,0.18181818181818182,1.1033386327503976,117
102,TD,9,1,1,0.1111111111111111,0.1111111111111111,1.0263271471730686,133
103,TD,11,1,1,0.09090909090909091,0.09090909090909091,1.3769017980636238,109
106,TD,2,0,0,0,0,0.6699395770392749,19
117,BI,1,0,0,0,0,1.0549148819330039,121
132,BI,16,0,0,0,0,1.0484037075180226,58
135,BI,8,0,0,0,0,1.3083524027459954,47
150,BI,8,0,0,0,0,2.47008547008547,100
