participant_id,Project,FoxHOS07,AliceHOS07,AlanHOS07,FoxHOS08,AlanHOS08,FoxHOS09,AlanHOS09,avg07,avg08,avg09,max_avg
22,2,10,9,9,4,3,8,2,9.333333333333334,3.5,5,9.333333333333334
25,2,1,2,4,3,5,8,0,2.3333333333333335,4,4,4
28,2,2,1,1,3,4,5,0,1.3333333333333333,3.5,2.5,3.5
29,2,6,6,2,8,5,4,0,4.666666666666667,6.5,2,6.5
37,2,6,3,2,3,4,2,0,3.6666666666666665,3.5,1,3.6666666666666665
38,2,8,4,2,8,2,7,0,4.666666666666667,5,3.5,5
40,2,3,1,4,4,6,0,0,2.6666666666666665,5,0,5
42,2,2,2,1,10,8,10,0,1.6666666666666667,9,5,9
43,2,8,10,10,10,8,10,0,9.333333333333334,9,5,9.333333333333334
44,2,3,4,3,9,10,10,0,3.3333333333333335,9.5,5,9.5
45,2,1,4,1,6,2,4,0,2,4,2,4
54,2,3,7,3,3,6,7,0,4.333333333333333,4.5,3.5,4.5
58,2,8,3,3,3,1,7,4,4.666666666666667,2,5.5,5.5
61,2,0,2,2,6,8,4,4,1.3333333333333333,7,4,7
68,2,8,6,10,1,4,2,0,8,2.5,1,8
75,2,2,1,3,9,3,0,0,2,6,0,6
84,2,3,3,1,3,3,4,4,2.3333333333333335,3,4,4
102,2,7,8,3,3,4,1,1,6,3.5,1,6
103,2,2,8,4,8,4,4,4,4.666666666666667,6,4,6
106,2,3,6,2,4,5,3,0,3.6666666666666665,4.5,1.5,4.5
30,3,3,3,1,4,2,4,0,2.3333333333333335,3,2,3
35,3,2,1,1,0,0,0,0,1.3333333333333333,0,0,1.3333333333333333
46,3,6,1,1,0,0,0,0,2.6666666666666665,0,0,2.6666666666666665
93,3,1,1,1,9,2,10,2,1,5.5,6,6
94,3,3,4,3,10,10,9,10,3.3333333333333335,10,9.5,10
98,3,1,1,1,1,0,0,0,1,0.5,0,1
99,3,3,2,2,2,2,8,0,2.3333333333333335,2,4,4
117,3,3,3,1,3,5,6,2,2.3333333333333335,4,4,4
132,3,0,0,0,3,6,0,1,0,4.5,0.5,4.5
135,3,4,4,1,3,3,10,4,3,3,7,7
140,3,0,0,0,1,1,4,3,0,1,3.5,3.5
150,3,0,0,0,1,1,8,2,0,1,5,5
