ChildID,Project,FoxHOS07,AliceHOS07,AlanHOS07,FoxHOS08,AlanHOS08,FoxHOS09,AlanHOS09,HighScore07,HighScore08,HighScore09,AvgHighScore
22,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
25,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
28,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
29,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
37,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
38,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
40,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
42,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
43,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
44,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
45,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
54,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
58,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
61,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
68,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
75,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
84,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
102,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
103,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
106,2,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
30,3,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
35,3,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
46,3,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
93,3,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
94,3,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
98,3,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
99,3,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
117,3,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
135,3,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
140,3,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
150,3,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf
