participant_id,c_utts,c_form,c_gloss,c_obj,C_Pret,context,p_utts,p_form,p_gloss,p_obj,id,C_wpu
102,NA,NA,NA,NA,NA,NA,because you were small and got to wear it.,NA,NA,NA,11020700001,0
102,NA,NA,NA,NA,NA,NA,now you're a big boy.,NA,NA,NA,11020700010,0
102,they're almost gone!,Point~,Leaves,Leaves,NA,NA,NA,NA,NA,NA,11020700100,3
102,NA,NA,NA,NA,NA,NA,more what babe?,NA,NA,NA,11020701000,0
102,NA,NA,NA,NA,NA,NA,oops.,NA,NA,NA,11020701001,0
102,NA,NA,NA,NA,NA,NA,uhoh.,NA,NA,NA,11020701002,0
102,NA,NA,NA,NA,NA,NA,more what sweetie?,NA,NA,NA,11020701003,0
102,NA,NA,NA,NA,NA,NA,more what?,NA,NA,NA,11020701004,0
102,NA,NA,NA,NA,NA,NA,more what?,SIGN,More,NA,11020701005,0
102,NA,NA,NA,NA,NA,NA,more drink?,SIGN~-SIGN,More-Drink,NA,11020701006,0
102,NA,NA,NA,NA,NA,NA,more what?,SIGN,More,NA,11020701007,0
102,NA,NA,NA,NA,NA,NA,you want to go inside?,Point,House,House,11020701008,0
102,NA,NA,NA,NA,NA,NA,you need drink?,SIGN,Drink,NA,11020701009,0
102,NA,NA,NA,NA,NA,NA,we do you need to get another pile of leaves.,NA,NA,NA,11020700101,0
102,NA,NA,NA,NA,NA,NA,more what?,SIGN,More,NA,11020701010,0
102,NA,NA,NA,NA,NA,NA,John I think your sisters are getting cold.,NA,NA,NA,11020701011,0
102,watch out!,NA,NA,NA,NA,NA,NA,NA,NA,NA,11020701012,2
102,NA,NA,NA,NA,NA,NA,I think your sisters are getting cold.,NA,NA,NA,11020701013,0
102,watch out mom.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11020701014,3
102,NA,NA,NA,NA,NA,NA,"well, I think we're going to have to go in in a couple minutes.",NA,NA,NA,11020701015,0
102,NA,NA,NA,NA,NA,NA,ok?,NA,NA,NA,11020701016,0
102,watch out mom.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11020701017,3
102,NA,NA,NA,NA,NA,NA,thank+you.,NA,NA,NA,11020701018,0
102,thank+you mama.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11020701019,2
102,NA,NA,NA,NA,NA,NA,that is almost gone.,NA,NA,NA,11020700102,0
102,NA,NA,NA,NA,NA,NA,you're welcome bud.,NA,NA,NA,11020701020,0
102,this ### is in the way.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11020701021,6
102,NA,NA,NA,NA,NA,NA,don't go down there Kiley.,Shake,No,NA,11020701022,0
102,NA,NA,NA,NA,NA,NA,ok?,NA,NA,NA,11020701023,0
102,that's ###.,Point,Neighbor's yard,Neighbor's yard,NA,NA,you're the first kid to realize that that's broken.,NA,NA,NA,11020701024,2
102,###.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11020701025,1
102,let's get some water out of there.,Point,Fake well in neighbor's yard,Fake well in neighbor's yard,NA,NA,NA,NA,NA,NA,11020701026,7
102,NA,NA,NA,NA,NA,NA,"yeah, it's like a little well.",NA,NA,NA,11020701027,0
102,what's in the well?,NA,NA,NA,NA,NA,NA,NA,NA,NA,11020701028,4
102,NA,NA,NA,NA,NA,NA,what?,NA,NA,NA,11020701029,0
102,NA,NA,NA,NA,NA,NA,good job.,NA,NA,NA,11020700103,0
102,what's in the well?,NA,NA,NA,NA,NA,NA,NA,NA,NA,11020701030,4
102,NA,NA,NA,NA,NA,NA,it's like a little well.,NA,NA,NA,11020701031,0
102,NA,NA,NA,NA,NA,NA,and you draw water after the rain.,NA,NA,NA,11020701032,0
102,NA,NA,NA,NA,NA,NA,they have flowers in it though.,NA,NA,NA,11020701033,0
102,NA,NA,NA,NA,NA,NA,"oh, are you looking for Chance?",NA,NA,NA,11020701034,0
102,NA,NA,NA,NA,NA,NA,NA,Flip,Where is it?,NA,11020701035,0
102,NA,NA,NA,NA,NA,NA,he's not outside.,Flip~,Where is it?,NA,11020701036,0
102,### come out.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11020701037,3
102,I like Chance to come out.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11020701038,6
102,NA,NA,NA,NA,NA,NA,stay right there.,NA,NA,NA,11020701039,0
102,NA,NA,NA,NA,NA,NA,keep coming Kiley.,NA,NA,NA,11020700104,0
102,NA,NA,NA,NA,NA,NA,where are you going?,NA,NA,NA,11020701040,0
102,NA,NA,NA,NA,NA,NA,come here.,NA,NA,NA,11020701041,0
102,chance ### come out.,NA,NA,NA,NA,NA,NA,NA,NA,NA,11020701042,4
102,NA,NA,NA,NA,NA,NA,###,NA,NA,NA,11020701043,0
102,NA,NA,NA,NA,NA,NA,I know.,NA,NA,NA,11020701044,0
102,NA,NA,NA,NA,NA,NA,sorry John.,NA,NA,NA,11020701045,0
102,###,NA,NA,NA,NA,NA,NA,NA,NA,NA,11020701046,1
102,NA,NA,NA,NA,NA,NA,I think we're going to have to put our toys away.,NA,NA,NA,11020701047,0
102,NA,NA,NA,NA,NA,NA,and go inside.,NA,NA,NA,11020701048,0
102,NA,NA,NA,NA,NA,NA,because I think your sisters are getting a little chilly.,NA,NA,NA,11020701049,0
102,NA,NA,NA,NA,NA,NA,keep coming.,NA,NA,NA,11020700105,0
102,NA,NA,NA,NA,NA,NA,maybe we can come out a little later?,NA,NA,NA,11020701050,0
102,how about we play with their toys in the living+room?,NA,NA,NA,NA,NA,NA,NA,NA,NA,11020701051,10
102,NA,NA,NA,NA,NA,NA,we play with toys in the living+room?,NA,NA,NA,11020701052,0
102,airplane!,Point,Airplane in sky,Airplane in sky,NA,NA,NA,NA,NA,NA,11020701053,1
102,NA,NA,NA,NA,NA,C interrupted M,maybe we can dance to the ### song --,NA,NA,NA,11020701054,0
102,look.,Point~,Airplane in sky,Airplane in sky,NA,NA,NA,NA,NA,NA,11020701055,1
102,look.,Point~,Airplane in sky,Airplane in sky,NA,NA,NA,NA,NA,NA,11020701056,1
102,look.,Point~,Airplane in sky,Airplane in sky,NA,NA,NA,NA,NA,NA,11020701057,1
102,NA,NA,NA,NA,NA,NA,look what?,NA,NA,NA,11020701058,0
102,look mommy.,Point~,Airplane in sky,Airplane in sky,NA,NA,oh!,NA,NA,NA,11020701059,2
102,NA,NA,NA,NA,NA,NA,no.,NA,NA,NA,11020700106,0
102,NA,NA,NA,NA,NA,NA,look at the airplane.,NA,NA,NA,11020701060,0
102,NA,NA,NA,NA,NA,NA,it's going fast.,NA,NA,NA,11020701061,0
102,NA,NA,NA,NA,NA,NA,alright!,NA,NA,NA,11020701062,0
102,NA,NA,NA,NA,NA,NA,let's put the toys away.,NA,NA,NA,11020701063,0
102,NA,NA,NA,NA,NA,NA,###,NA,NA,NA,11020701064,0
102,NA,NA,NA,NA,NA,NA,###,NA,NA,NA,11020701065,0
102,NA,NA,NA,NA,NA,NA,---,NA,NA,NA,11020701066,0
102,NA,NA,NA,NA,NA,NA,hey Em!,NA,NA,NA,11020701067,0
102,NA,NA,NA,NA,NA,NA,no no no sweetie.,Shake,No,NA,11020701068,0
102,NA,NA,NA,NA,NA,NA,huhuh.,$,NA,NA,11020701069,0
102,NA,NA,NA,NA,NA,NA,turn around and come down backwards.,iconic-iconic,around-down,NA,11020700107,0
102,NA,NA,NA,NA,NA,NA,I don't --,$,NA,NA,11020701070,0
102,NA,NA,NA,NA,NA,NA,that's been out here for a while.,$,NA,NA,11020701071,0
102,NA,NA,NA,NA,NA,NA,alright bud.,$,NA,NA,11020701072,0
102,NA,NA,NA,NA,NA,NA,help me put them away?,$,NA,NA,11020701073,0
102,NA,NA,NA,NA,NA,NA,good job!,$,NA,NA,11020701074,0
102,NA,NA,NA,NA,NA,NA,"uh, Emily!",$,NA,NA,11020701075,0
102,NA,NA,NA,NA,NA,NA,I mean Kiley!,$,NA,NA,11020701076,0
102,NA,NA,NA,NA,NA,NA,no no no babe!,$,NA,NA,11020701077,0
