X,participant_id,c_wpu,c_pret,c_form,line,groupstatus,gesture_rep,gesture_all,gesture_icon
2080,132,4,1,hold,416,PL,0,1,0
2083,132,4,1,hold,419,PL,0,1,0
2084,132,5,1,hold,420,PL,0,1,0
2506,132,4,1,hold,842,PL,0,1,0
2692,132,4,1,point,1028,PL,0,1,0
2735,132,4,1,hold,1071,PL,0,1,0
2737,132,4,1,hold,1073,PL,0,1,0
2828,132,3,1,hold,1164,PL,0,1,0
3067,132,2,1,palm,1403,PL,0,1,0
3231,132,5,1,palm,1567,PL,0,1,0
3239,132,4,1,hold,1575,PL,0,1,0
3368,132,7,1,hold +hold,1704,PL,0,1,0
3376,132,3,1,palm,1712,PL,0,1,0
3381,132,8,1,hold,1717,PL,0,1,0
3385,132,14,1,hold,1721,PL,0,1,0
3389,132,4,1,hold,1725,PL,0,1,0
3390,132,3,1,hold,1726,PL,0,1,0
3392,132,4,1,hold,1728,PL,0,1,0
3399,132,5,1,hold~/point,1735,PL,0,1,0
3403,132,2,1,hold,1739,PL,0,1,0
3414,132,2,1,hold,1750,PL,0,1,0
3416,132,3,1,point,1752,PL,0,1,0
3421,132,3,1,palm,1757,PL,0,1,0
3425,132,4,1,hold,1761,PL,0,1,0
3429,132,3,1,hold,1765,PL,0,1,0
3449,132,1,1,nod,1785,PL,0,1,0
3467,132,3,1,hold,1803,PL,0,1,0
3472,132,1,1,nod,1808,PL,0,1,0
3495,132,2,1,point,1831,PL,0,1,0
3517,132,3,1,hold,1853,PL,0,1,0
3518,132,3,1,hold~,1854,PL,0,1,0
3538,132,5,1,hold,1874,PL,0,1,0
3554,132,3,1,point,1890,PL,0,1,0
3569,132,1,1,nod,1905,PL,0,1,0
3575,132,1,1,nod,1911,PL,0,1,0
3622,132,0,1,nod + palm,1958,PL,0,1,0
3628,132,3,1,iconic,1964,PL,1,1,1
3630,132,1,1,nod + iconic~,1966,PL,1,1,1
3633,132,0,1,nod,1969,PL,0,1,0
3637,132,0,1,nod,1973,PL,0,1,0
3639,132,1,1,shake,1975,PL,0,1,0
3642,132,2,1,point,1978,PL,0,1,0
3645,132,0,1,nod,1981,PL,0,1,0
3651,132,2,1,point,1987,PL,0,1,0
3754,135,7,1,point,88,PL,0,1,0
3789,135,2,1,<all aboard>,123,PL,0,1,0
3991,135,3,1,hold,325,PL,0,1,0
4333,135,2,1,iconic,667,PL,1,1,1
4346,135,1,1,iconic?,680,PL,1,1,1
4348,135,1,1,iconic?~,682,PL,1,1,1
4350,135,1,1,iconic?,684,PL,1,1,1
4352,135,1,1,iconic?~,686,PL,1,1,1
4354,135,1,1,iconic?~,688,PL,1,1,1
4358,135,1,1,iconic?,692,PL,1,1,1
4394,135,3,1,point,728,PL,0,1,0
4412,135,1,1,iconic?,746,PL,1,1,1
4420,135,1,1,iconic,754,PL,1,1,1
4425,135,1,1,iconic,759,PL,1,1,1
4474,135,0,1,shake-nod,808,PL,0,1,0
4486,135,5,1,naughties,820,PL,0,1,0
4511,135,1,1,shrug,845,PL,0,1,0
4525,135,4,1,naughties,859,PL,0,1,0
4531,135,2,1,palm-palm,865,PL,0,1,0
4533,135,3,1,hold,867,PL,0,1,0
4569,135,2,1,shake,903,PL,0,1,0
4693,135,0,1,point-iconic,1027,PL,1,1,1
4774,135,4,1,$,1108,PL,0,1,0
4775,135,2,1,$,1109,PL,0,1,0
4776,135,2,1,$,1110,PL,0,1,0
4780,135,1,1,hold,1114,PL,0,1,0
4828,135,1,1,nod,1162,PL,0,1,0
4881,135,1,1,nod,1215,PL,0,1,0
4907,135,4,1,number-number-number,1241,PL,0,1,0
4909,135,0,1,nod,1243,PL,0,1,0
4914,135,3,1,palm,1248,PL,0,1,0
4925,135,3,1,flip,1259,PL,0,1,0
5034,135,0,1,nod,1368,PL,0,1,0
5044,135,5,1,shake,1378,PL,0,1,0
5061,135,0,1,shake,1395,PL,0,1,0
5139,135,0,1,flip,1473,PL,0,1,0
5140,135,6,1,point,1474,PL,0,1,0
5162,135,2,1,point,1496,PL,0,1,0
5176,135,6,1,$,1510,PL,0,1,0
5178,135,6,1,$,1512,PL,0,1,0
5180,135,2,1,$,1514,PL,0,1,0
5206,135,0,1,shrug,1540,PL,0,1,0
5209,135,0,1,iconic,1543,PL,1,1,1
5247,135,1,1,$,1581,PL,0,1,0
5262,135,5,1,point,1596,PL,0,1,0
5290,135,4,1,<raise hand>,1624,PL,0,1,0
5300,135,0,1,flip,1634,PL,0,1,0
5309,135,3,1,point,1643,PL,0,1,0
5311,135,3,1,point,1645,PL,0,1,0
5313,135,0,1,flip,1647,PL,0,1,0
5325,135,4,1,$,1659,PL,0,1,0
5400,135,8,1,tada,1734,PL,0,1,0
5403,135,0,1,shake,1737,PL,0,1,0
5406,135,3,1,hold,1740,PL,0,1,0
5425,135,1,1,shake,1759,PL,0,1,0
5426,135,5,1,point,1760,PL,0,1,0
5472,135,8,1,point,1806,PL,0,1,0
5474,135,7,1,point,1808,PL,0,1,0
5497,135,0,1,<raise hand>,1831,PL,0,1,0
5527,135,2,1,hold,1861,PL,0,1,0
7352,150,6,1,flip,1816,PL,0,1,0
9260,35,0,1,nod,295,PL,0,1,0
12294,93,6,1,hold,48,PL,0,1,0
12298,93,3,1,hold,52,PL,0,1,0
12303,93,0,1,hold,57,PL,0,1,0
13459,93,4,1,hold~,1213,PL,0,1,0
13632,94,0,1,palm,11,PL,0,1,0
13665,94,0,1,point,44,PL,0,1,0
13675,94,1,1,point - point,54,PL,0,1,0
13676,94,8,1,point - point,55,PL,0,1,0
13679,94,8,1,point,58,PL,0,1,0
13686,94,8,1,point,65,PL,0,1,0
13726,94,0,1,nod,105,PL,0,1,0
13728,94,4,1,palm,107,PL,0,1,0
13800,94,4,1,iconic,179,PL,1,1,1
13815,94,7,1,iconic,194,PL,1,1,1
13818,94,6,1,iconic,197,PL,1,1,1
13821,94,4,1,iconic~,200,PL,1,1,1
13835,94,4,1,point,214,PL,0,1,0
13837,94,4,1,point~,216,PL,0,1,0
13868,94,9,1,point,247,PL,0,1,0
13870,94,6,1,point,249,PL,0,1,0
14055,94,2,1,point,434,PL,0,1,0
14060,94,2,1,point,439,PL,0,1,0
14098,94,3,1,palm,477,PL,0,1,0
14109,94,12,1,point,488,PL,0,1,0
14112,94,2,1,hold,491,PL,0,1,0
14132,94,5,1,hold,511,PL,0,1,0
14226,94,6,1,point,605,PL,0,1,0
14239,94,6,1,hold,618,PL,0,1,0
14307,94,0,1,palm,686,PL,0,1,0
14449,94,1,1,palm,828,PL,0,1,0
15241,94,6,1,hold,1620,PL,0,1,0
19334,102,4,1,$,NA,TD,0,1,0
25539,25,5,1,point-point,NA,TD,0,1,0
25540,25,2,1,point,NA,TD,0,1,0
25541,25,2,1,point,NA,TD,0,1,0
26355,25,8,1,point,NA,TD,0,1,0
27917,28,3,1,hold,NA,TD,0,1,0
27931,28,3,1,hold,NA,TD,0,1,0
28048,28,3,1,point~+hold,NA,TD,0,1,0
28049,28,3,1,point~+hold~,NA,TD,0,1,0
28148,28,7,1,hold,NA,TD,0,1,0
28149,28,3,1,point,NA,TD,0,1,0
28201,28,2,1,point,NA,TD,0,1,0
28207,28,2,1,point,NA,TD,0,1,0
28295,28,2,1,hold~,NA,TD,0,1,0
28298,28,1,1,point,NA,TD,0,1,0
28703,29,8,1,point,NA,TD,0,1,0
28707,29,3,1,hold,NA,TD,0,1,0
28741,29,8,1,point~,NA,TD,0,1,0
28835,29,4,1,palm,NA,TD,0,1,0
28836,29,13,1,palm,NA,TD,0,1,0
28853,29,11,1,iconic-iconic-cont palm,NA,TD,1,1,1
28868,29,4,1,hold,NA,TD,0,1,0
28888,29,13,1,point - point,NA,TD,0,1,0
29042,29,3,1,iconic~,NA,TD,1,1,1
29249,29,1,1,hold,NA,TD,0,1,0
29488,29,1,1,iconic,NA,TD,1,1,1
29497,29,4,1,iconic,NA,TD,1,1,1
29498,29,5,1,hold,NA,TD,0,1,0
30107,29,2,1,wave,NA,TD,0,1,0
30572,29,7,1,hold,NA,TD,0,1,0
30816,29,2,1,point,NA,TD,0,1,0
30830,29,1,1,hold~,NA,TD,0,1,0
33501,38,9,1,beat,NA,TD,0,1,0
33503,38,9,1,beat,NA,TD,0,1,0
33952,40,1,1,hold~,NA,TD,0,1,0
34423,40,2,1,hold,NA,TD,0,1,0
35141,42,4,1,point,NA,TD,0,1,0
35502,42,8,1,hold~+palm,NA,TD,0,1,0
38014,44,7,1,shake~,NA,TD,0,1,0
38755,45,7,1,point~,NA,TD,0,1,0
40600,54,1,1,iconic,NA,TD,1,1,1
40601,54,1,1,iconic~,NA,TD,1,1,1
40602,54,1,1,iconic~,NA,TD,1,1,1
40604,54,2,1,iconic~,NA,TD,1,1,1
41915,54,1,1,point~,NA,TD,0,1,0
41923,54,5,1,hold~+hold~,NA,TD,0,1,0
42084,54,5,1,$,NA,TD,0,1,0
42088,54,6,1,$,NA,TD,0,1,0
42091,54,1,1,$,NA,TD,0,1,0
42092,54,6,1,$,NA,TD,0,1,0
42167,54,3,1,$,NA,TD,0,1,0
