participant_id,c_wpu,c_pret,c_form,line,groupstatus,gesture_rep,gesture_all
117,1,1,nod,1467,PL,0,1
132,1,1,shh,220,PL,0,1
132,2,1,NA,470,PL,0,0
132,1,1,NA,821,PL,0,0
132,1,1,NA,822,PL,0,0
132,1,1,NA,824,PL,0,0
132,1,1,NA,828,PL,0,0
132,1,1,NA,829,PL,0,0
132,3,1,NA,831,PL,0,0
132,3,1,NA,1039,PL,0,0
132,3,1,palm,1041,PL,0,1
132,1,1,NA,1177,PL,0,0
132,4,1,NA,1378,PL,0,0
132,3,1,NA,1380,PL,0,0
132,1,1,NA,1383,PL,0,0
132,1,1,NA,1512,PL,0,0
132,1,1,NA,1514,PL,0,0
132,1,1,NA,1515,PL,0,0
132,3,1,NA,1517,PL,0,0
132,1,1,NA,1521,PL,0,0
132,5,1,NA,1523,PL,0,0
132,1,1,NA,1529,PL,0,0
132,1,1,NA,1532,PL,0,0
132,2,1,NA,1535,PL,0,0
132,1,1,NA,1538,PL,0,0
132,1,1,NA,1540,PL,0,0
132,2,1,point,1546,PL,0,1
132,4,1,hold,1547,PL,0,1
132,4,1,hold~,1548,PL,0,1
132,4,1,hold~,1549,PL,0,1
132,1,1,NA,1550,PL,0,0
132,1,1,NA,1552,PL,0,0
132,5,1,hold,1591,PL,0,1
132,1,1,NA,1592,PL,0,0
132,5,1,NA,1593,PL,0,0
132,1,1,wave,1612,PL,0,1
132,1,1,wave,1613,PL,0,1
132,1,1,wave,1620,PL,0,1
132,1,1,NA,1628,PL,0,0
132,1,1,flip,1631,PL,0,1
132,2,1,NA,1634,PL,0,0
132,1,1,NA,1637,PL,0,0
132,1,1,nod,1640,PL,0,1
132,15,1,palm,1643,PL,0,1
132,1,1,NA,1645,PL,0,0
132,5,1,flip,1648,PL,0,1
132,1,1,NA,1650,PL,0,0
132,6,1,palm,1652,PL,0,1
132,7,1,NA,1653,PL,0,0
132,1,1,NA,1657,PL,0,0
132,10,1,NA,1659,PL,0,0
132,1,1,wave~,1664,PL,0,1
135,1,1,NA,774,PL,0,0
135,4,1,hold,801,PL,0,1
135,3,1,NA,808,PL,0,0
135,3,1,NA,811,PL,0,0
135,3,1,NA,812,PL,0,0
135,2,1,NA,814,PL,0,0
135,3,1,NA,815,PL,0,0
135,4,1,NA,873,PL,0,0
135,6,1,NA,895,PL,0,0
135,1,1,NA,1002,PL,0,0
135,3,1,NA,1003,PL,0,0
135,5,1,NA,1006,PL,0,0
135,2,1,NA,1015,PL,0,0
135,6,1,NA,1016,PL,0,0
135,6,1,NA,1020,PL,0,0
135,3,1,NA,1029,PL,0,0
135,3,1,NA,1032,PL,0,0
135,3,1,NA,1036,PL,0,0
135,3,1,NA,1037,PL,0,0
135,3,1,NA,1038,PL,0,0
135,3,1,NA,1039,PL,0,0
135,3,1,NA,1040,PL,0,0
135,6,1,NA,1041,PL,0,0
135,2,1,NA,1043,PL,0,0
135,1,1,NA,1045,PL,0,0
135,1,1,NA,1047,PL,0,0
135,2,1,NA,1048,PL,0,0
135,6,1,NA,1050,PL,0,0
135,6,1,NA,1059,PL,0,0
135,5,1,NA,1061,PL,0,0
135,1,1,NA,1070,PL,0,0
135,1,1,NA,1071,PL,0,0
135,2,1,NA,1072,PL,0,0
135,2,1,NA,1073,PL,0,0
135,3,1,NA,1076,PL,0,0
135,4,1,NA,1077,PL,0,0
135,1,1,NA,1086,PL,0,0
135,1,1,NA,1089,PL,0,0
135,5,1,NA,1090,PL,0,0
135,1,1,NA,1093,PL,0,0
135,1,1,NA,1096,PL,0,0
135,4,1,NA,1100,PL,0,0
135,10,1,NA,1102,PL,0,0
135,13,1,NA,1103,PL,0,0
135,9,1,NA,1107,PL,0,0
135,22,1,NA,1116,PL,0,0
135,2,1,NA,1118,PL,0,0
135,3,1,NA,1119,PL,0,0
135,3,1,NA,1123,PL,0,0
135,5,1,NA,1125,PL,0,0
135,3,1,NA,1126,PL,0,0
135,3,1,<darn it >,1128,PL,0,1
135,7,1,NA,1136,PL,0,0
135,10,1,NA,1138,PL,0,0
135,4,1,NA,1141,PL,0,0
135,1,1,NA,1146,PL,0,0
135,1,1,NA,1148,PL,0,0
135,4,1,NA,1149,PL,0,0
135,1,1,NA,1152,PL,0,0
135,9,1,NA,1153,PL,0,0
135,3,1,NA,1155,PL,0,0
135,3,1,NA,1157,PL,0,0
135,4,1,NA,1159,PL,0,0
135,1,1,NA,1161,PL,0,0
135,1,1,NA,1163,PL,0,0
135,2,1,NA,1170,PL,0,0
135,7,1,NA,1184,PL,0,0
135,7,1,NA,1185,PL,0,0
135,3,1,NA,1187,PL,0,0
135,8,1,NA,1189,PL,0,0
135,4,1,NA,1192,PL,0,0
135,4,1,NA,1193,PL,0,0
135,3,1,hold,1195,PL,0,1
135,4,1,hold,1198,PL,0,1
135,5,1,NA,1201,PL,0,0
135,5,1,NA,1207,PL,0,0
135,3,1,NA,1209,PL,0,0
135,6,1,NA,1213,PL,0,0
135,9,1,NA,1238,PL,0,0
135,8,1,hold,1247,PL,0,1
135,1,1,NA,1250,PL,0,0
135,3,1,NA,1252,PL,0,0
135,6,1,shake,1254,PL,0,1
135,1,1,NA,1256,PL,0,0
135,1,1,NA,1257,PL,0,0
135,3,1,NA,1259,PL,0,0
135,3,1,NA,1297,PL,0,0
135,3,1,NA,1300,PL,0,0
135,3,1,NA,1303,PL,0,0
135,2,1,NA,1315,PL,0,0
135,1,1,NA,1327,PL,0,0
135,1,1,NA,1328,PL,0,0
135,1,1,NA,1329,PL,0,0
135,4,1,NA,1330,PL,0,0
135,7,1,NA,1331,PL,0,0
135,3,1,NA,1334,PL,0,0
135,3,1,NA,1335,PL,0,0
135,2,1,NA,1338,PL,0,0
135,9,1,NA,1348,PL,0,0
135,1,1,NA,1351,PL,0,0
135,4,1,NA,1352,PL,0,0
135,1,1,NA,1361,PL,0,0
135,2,1,NA,1363,PL,0,0
135,4,1,NA,1365,PL,0,0
135,3,1,NA,1372,PL,0,0
135,6,1,NA,1375,PL,0,0
135,4,1,point,1388,PL,0,1
135,1,1,NA,1391,PL,0,0
135,2,1,NA,1394,PL,0,0
135,1,1,NA,1396,PL,0,0
135,1,1,NA,1398,PL,0,0
135,12,1,hold,1434,PL,0,1
135,1,1,NA,1436,PL,0,0
135,1,1,NA,1460,PL,0,0
135,9,1,NA,1461,PL,0,0
135,10,1,NA,1463,PL,0,0
135,1,1,NA,1476,PL,0,0
135,3,1,NA,1477,PL,0,0
135,1,1,NA,1483,PL,0,0
135,1,1,NA,1485,PL,0,0
135,1,1,NA,1494,PL,0,0
135,7,1,NA,1527,PL,0,0
135,3,1,NA,1530,PL,0,0
135,3,1,NA,1535,PL,0,0
135,7,1,NA,1536,PL,0,0
135,3,1,NA,1541,PL,0,0
135,2,1,NA,1543,PL,0,0
135,2,1,NA,1544,PL,0,0
135,2,1,NA,1545,PL,0,0
135,2,1,NA,1546,PL,0,0
135,2,1,NA,1547,PL,0,0
135,3,1,NA,1548,PL,0,0
135,4,1,NA,1555,PL,0,0
135,4,1,NA,1556,PL,0,0
135,4,1,NA,1559,PL,0,0
135,3,1,NA,1561,PL,0,0
135,4,1,NA,1563,PL,0,0
135,4,1,NA,1564,PL,0,0
135,6,1,NA,1570,PL,0,0
135,3,1,NA,1571,PL,0,0
135,3,1,NA,1586,PL,0,0
135,11,1,NA,1587,PL,0,0
135,2,1,NA,1589,PL,0,0
135,1,1,NA,1593,PL,0,0
135,1,1,NA,1594,PL,0,0
135,3,1,NA,1596,PL,0,0
135,9,1,NA,1601,PL,0,0
135,1,1,NA,1604,PL,0,0
135,10,1,NA,1609,PL,0,0
135,1,1,NA,1731,PL,0,0
135,5,1,NA,1732,PL,0,0
135,6,1,NA,1734,PL,0,0
135,5,1,NA,1738,PL,0,0
150,1,1,NA,383,PL,0,0
150,1,1,NA,385,PL,0,0
150,2,1,NA,388,PL,0,0
150,4,1,NA,462,PL,0,0
150,1,1,NA,464,PL,0,0
150,3,1,NA,477,PL,0,0
150,3,1,NA,478,PL,0,0
150,1,1,NA,479,PL,0,0
150,1,1,NA,480,PL,0,0
150,5,1,NA,481,PL,0,0
150,4,1,NA,517,PL,0,0
150,7,1,NA,578,PL,0,0
150,6,1,point,631,PL,0,1
150,6,1,hold,636,PL,0,1
150,3,1,NA,637,PL,0,0
150,11,1,NA,639,PL,0,0
150,6,1,NA,642,PL,0,0
150,5,1,NA,643,PL,0,0
150,8,1,NA,644,PL,0,0
150,1,1,NA,646,PL,0,0
150,2,1,NA,647,PL,0,0
150,3,1,NA,648,PL,0,0
150,3,1,NA,651,PL,0,0
150,3,1,NA,653,PL,0,0
150,5,1,NA,658,PL,0,0
150,1,1,NA,660,PL,0,0
150,3,1,NA,662,PL,0,0
150,1,1,NA,663,PL,0,0
150,7,1,NA,664,PL,0,0
150,3,1,point,667,PL,0,1
150,1,1,NA,668,PL,0,0
150,6,1,NA,669,PL,0,0
150,6,1,NA,721,PL,0,0
150,5,1,point,722,PL,0,1
150,5,1,NA,723,PL,0,0
150,1,1,NA,724,PL,0,0
150,8,1,NA,725,PL,0,0
150,4,1,NA,729,PL,0,0
150,4,1,NA,737,PL,0,0
150,7,1,NA,740,PL,0,0
150,13,1,NA,783,PL,0,0
150,5,1,NA,840,PL,0,0
